a|e|siquidam|siquidem|unknown
aniam|taniam|Britanniam|Brittanniam|unknown
esalia|hesalia|Tessalia|Thessalia|unknown
u|o|uictus|uictos|unknown
a|o|Tatius|Totius|unknown
|i|Pompei|Pompeii|unknown
IV|quattuor|IV|quattuor|unknown
|m|comitatu|comitatum|unknown
o|u|Pompeios|Pompeius|unknown
tium|ilium|Attium|Atilium|unknown
gitaret|ngitaret|cogitaret|congitaret|unknown
am|iam|fugam|fugiam|unknown
c|t|acie|atie|tc
it|t|aufugiit|aufugit|unknown
tum|mentum|coniuratum|coniuramentum|unknown
n|m|unquam|umquam|unknown
i|u|ciuilibus|cuuilibus|unknown
rm|nn|armis|annis|unknown
m|ra|dum|dura|unknown
o,|u|Bruto,|Brutu|unknown
ius|s|eius|es|unknown
ea|a|Enea|Ena|unknown
libus|bus|ciuilibus|ciuibus|unknown
|s|Cesari|Cesaris|unknown
lc|sl|locus|solus|unknown
|m,|Cleopatra|Cleopatram,|unknown
a|e|illa|ille|unknown
t|c|Ottauianum|Octauianum|tc
IV|quattuor|IV|quattuor|unknown
abundantia|habundantia|abundantia|habundantia|unknown
t|set|est|esset|unknown
culibus|ucbus|ciuilibus|uicibus|unknown
y|i|Lybiam|Libiam|y
A|E|Aquitaniam|Equitaniam|unknown
am|cam|Dalmatiam|Dalmaticam|unknown
phorum|forum|Bosphorum|Bosforum|unknown
|a|ante|antea|unknown
i||Moesii|Moesi|unknown
hraces|races|Thraces|Traces|unknown
ie|e|Germanie|Germane|unknown
teros|cteros|Theteros|Thecteros|unknown
ambr|ramb|Sigambros|Sigrambos|unknown
c|t|licterarum|litterarum|tc
e|i|ignobiles|ignobilis|unknown
y|i|hierosolymitana|hierosolimitana|y
nem|em|Mariamnem|Mariamem|unknown
Hactenus|Actenus|Hactenus|Actenus|unknown
|m|Lagide|Lagidem|unknown
o|i|annos|annis|unknown
|s|anni|annis|unknown
y|i|Egyptus|Egiptus|y
|m|Gloria|Gloriam|unknown
ui|iu|uiuente|iuuente|unknown
|s|simulatione|simulationes|unknown
mode|ode|commode|comode|unknown
am|oniam|quam|quoniam|unknown
m|n|tamquam|tanquam|unknown
t|c|factiosus|facciosus|tc
lusor|elusor|lusor|elusor|unknown
me|na|mesceretur|nasceretur|unknown
eretur|itur|moreretur|moritur|unknown
atius|dicius|Oratius|Ordicius|unknown
abundaset|habundaset|abundasset|habundasset|unknown
m|n|immerito|inmerito|unknown
u|o|euocatus|euocatos|unknown
m|s|Archelaum|Archelaus|unknown
c|t|annunciare|annuntiare|tc
|s|anni|annis|unknown
sss|ffx|assisus|affixus|unknown
ri|m|predicaturi|predicatum|unknown
y|i|Hierusolymis|Hierusolimis|y
icitur|citur|coniicitur|conicitur|unknown
c|t|Ac|At|tc
e|a|interfectus|interfactus|unknown
ctatus|tatus|coarctatus|coartatus|unknown
c|t|ociosis|otiosis|tc
ani|nam|Oceani|Ocenam|unknown
nie|ie|Britannie|Britanie|unknown
norum|orum|Britannorum|Britanorum|unknown
tionem|cationem|deditionem|dedicationem|unknown
Isdem|Hisdem|Isdem|Hisdem|unknown
aesarem|esarem|Caesarem|Cesarem|unknown
y|i|Hierusolymis|Hierusolimis|y
ras|erdos|sacras|sacerdos|unknown
t|s|statuit|statuis|unknown
y|i|Hierusolymis|Hierusolimis|y
c|nc|ac|anc|unknown
f|s|quefierit|quesierit|unknown
quorum|equorum|quorum|equorum|unknown
henam|enam|Antiochenam|Antiocenam|unknown
euangelium|Egypto|euangelium|Egypto|unknown
udi|di|Claudii|Cladii|unknown
edtionem|itone|deditionem|ditione|unknown
adas|hadas|Orcadas|Orchadas|unknown
i|u|corripit|corrupit|unknown
hagoricus|agoribus|Pithagoricus|Pitagoribus|unknown
e|o|ipse|ipso|unknown
hithagora|itagora|Phithagora|Pitagora|unknown
m|r|Theram|Therar|unknown
y|i|Hierusolymis|Hierusolimis|y
d|t|sedidio|seditio|unknown
y|i|azymorum|azimorum|y
ctato|tato|coarctato|coartato|unknown
ae|e|uitae|uite|ae
i|gi|Gaii|Gagii|unknown
i|gi|Gaii|Gagii|unknown
i|y|citharetico|cytharetico|y
|s|urbi|urbis|unknown
y|i|satyrici|satirici|y
s|f|Musonius|Mufonius|unknown
Cicule|Glicule|Calicule|Gallicule|unknown
c|t|percitus|pertitus|tc
o||assumpto|assumpt|unknown
uius|iusus|uisus|iussus|unknown
r|t|porro|porto|unknown
i|e|Qui|Que|unknown
m|n|numquam|nunquam|unknown
ru|ni|carrucis|carnicis|unknown
e|i|infelice|infelici|unknown
me|ine,|flamme|flamine,|unknown
co|ato|tragico|tragiato|unknown
Ie|Aa|Iliadem|Aliadam|unknown
u|b|priuauit|priuabit|unknown
m||omnem|omne|unknown
f|s|fine|sine|unknown
os|um|ipsosque|ipsumque|unknown
Hieronymus|Ieronimus|Hieronymus|Ieronimus|unknown
y|i|Hierusolymam|Hierusolimam|y
y|i|Hierusolymam|Hierusolimam|y
henam|enam|Antiochenam|Antiocenam|unknown
N|U|Neronis|Ueronis|unknown
m|n|imposuit|inposuit|unknown
is|ris|curis|curris|unknown
o|u|secolares|seculares|unknown
portune,|ortune|opportune,|oportune|unknown
nc|c|hinc|hic|unknown
m|n|imperfectam|inperfectam|unknown
m||commemorationem|commemoratione|unknown
ris|er|decembris|december|unknown
m|ni|Galbam|Galbani|unknown
y|i|Hyspania|Hispania|y
c|t|pronunciatus|pronuntiatus|tc
e|a|quidem|quidam|unknown
nt|t|cogitarent|cogitaret|unknown
Herculano|Erculano,|Herculano|Erculano,|unknown
y|i|Hyspanias|Hispanias|y
t|c|initiis|iniciis|tc
h|t|Othonis|Ottonis|unknown
h|t|Otho|Otto|unknown
h|t|Otho|Otto|unknown
i|e|Castoris|Castores|unknown
anos|nos|Uitellianos|Uitellinos|unknown
Bbriacum|Priacum|Bebriacum|Periacum|unknown
m|n|compulit|conpulit|unknown
m||interitum|interitu|unknown
um|o|tumulum|tumulo|unknown
que||appropinquantibusque|appropinquantibus|unknown
ndam|dam|quandam|quadam|unknown
is|ris|crebis|crebris|unknown
V|II,|IV|III,|unknown
aniam|taniam|Britanniam|Brittanniam|unknown
i|e|conflixit|conflexit|unknown
